Entidad,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV
Puebla,-24.706357,112.387486,18.662637,190.138698,120.880975,7.031724,117.18089,136.652613,91.617537,132.85908,434.21466,119.248845,145.545052,206.153979,174.84589,182.15733,117.251717,153.3327641,77.168243,110.411469,269.862527,104.09117,99.868736,163.725749,127.009922,103.10342,185.849185,366.781635,121.070686,179.404452,27.338554,96.29667,176.032334,72.747177,167.210562,246.710687,131.531847,103.540816,45.478845,100.345357,71.144042,114.130958,14.725662,-8.747982,208.371041,154.110748,86.387897,335.265837,117.7992462,193.760755,158.74307,153.6737188,343.0457237,109.235843,162.5911213,142.745146,593.6943446,53.165702,203.86243,596.3659316,465.6567121,-16.65994479,211.468274,312.406216,195.9187518,206.2841124,172.848802,179.1030474,330.9901482,107.1808315,412.8286642,388.2510141,322.9926157,-60.24848341,-135.3086585,65.36472022
Querétaro,53.002271,35.456623,44.872491,121.862373,85.760315,335.230856,36.445072,170.770033,115.554096,80.615303,562.937047,79.566885,139.533439,306.958788,123.485682,84.176671,114.561028,29.226252,39.647485,87.783571,227.265385,107.409747,17.902212,103.435175,113.359397,258.845908,112.216757,110.228791,314.663959,151.219918,141.487063,143.209605,478.265657,64.942615,125.5943,146.462055,211.994578,458.346986,144.065237,257.097035,185.438251,624.805934,175.671984,148.404002,364.4239082,247.706441,88.606377,147.191818,230.5025439,246.381976,212.511322,382.9583903,260.7913717,131.7309474,251.7886908,-550.6346317,422.4520538,242.3607365,195.3906905,45.72473792,655.172798,71.70528423,159.4766613,204.6445766,319.3904248,167.7845503,635.6340997,304.9342859,272.4453633,371.124258,147.2094049,200.7587974,630.37804,52.27543953,254.1512236,59.87283009
Quintana Roo,57.841836,28.945587,-0.615237,46.40885,12.7550541,28.706539,134.2160974,24.79598397,42.91115542,137.3615252,191.5752433,38.78228004,25.999194,14.407392,85.916731,119.398519,30.779057,48.886533,88.562131,104.447733,91.77926,50.58623799,60.129917,67.199703,105.2744097,115.267259,27.275777,102.418966,171.531517,111.5927108,110.171631,119.759531,247.610031,252.322379,126.712666,372.1062,85.278956,120.089895,47.56185769,53.441771,47.504699,110.525106,72.461141,53.30689892,138.452872,40.910388,142.748308,56.31752146,78.2852757,140.748299,123.4969274,146.6770783,105.1181585,105.4097873,201.35499,212.130446,131.3736063,114.1901447,606.7997863,146.9806513,157.5769764,-3.57583429,0.63662941,62.87513545,118.4467795,1.83741714,183.2538939,58.65798713,99.00753891,79.51288435,33.00660079,58.53180635,143.8216742,61.60689823,170.8379334,65.70986986
San Luis Potosí,53.390298,18.257343,51.514043,132.255434,97.192548,14.111975,59.183414,141.793598,117.725395,78.630663,156.891416,76.208727,46.051133,53.847411,94.375561,71.030027,70.13465,144.299002,64.95158,165.417376,115.607556,77.459345,48.996753,50.185182,109.203539,213.717369,66.599306,72.846799,20.121513,75.983769,-16.525075,119.137065,274.749982,68.858922,59.120407,121.192676,224.677429,60.591298,192.753317,-17.294717,23.14884,-28.364383,36.031648,54.209792,258.041999,92.067031,4.404232,118.981465,234.0932531,-185.591619,28.64401,191.095197,422.7337177,130.349945,97.524008,229.13308,617.0905185,1019.418481,188.629022,174.6014291,396.0511917,258.6088819,82.819801,289.2535325,347.9873658,533.4588115,360.5127136,612.7548473,196.8373899,89.18214984,200.8281142,405.3855874,454.2598537,183.4782474,234.6498405,173.8785324
Sinaloa,39.076955,10.689073,19.78244,11.577178,24.47841,-28.749328,5.361898,30.500188,55.663364,40.333661,256.689638,33.935553,53.142502,41.112658,28.361761,27.151636,29.992653,29.886601,4.82559,75.547805,110.316878,36.009406,20.760224,67.189992,48.359879,42.731179,9.35160128,4.413309,54.678601,50.147188,10.414113,29.125299,97.287996,38.346956,84.389803,57.39395,97.038291,23.92753,23.424979,30.034507,17.047979,63.943618,10.206966,56.883806,98.83187,55.67212,33.091906,34.249527,96.45869376,85.56404,37.171167,17.68562348,67.1458577,150.414591,23.384728,195.7610943,100.855846,242.908535,-19.339041,300.6287329,247.9166794,62.70273686,33.190768,56.26097453,113.3049738,131.8936676,115.5759313,78.55561384,126.3537929,83.41551797,84.36718663,133.6630022,118.6725608,160.7601113,201.545769,266.0938872
Sonora,88.574716,100.69924,47.35671436,84.52211,97.143634,119.631046,103.367898,330.7262797,85.11536108,90.04526669,243.7045879,94.93367721,107.362352,137.9671989,235.15625,187.5690174,68.764276,247.664975,52.157581,216.9612202,238.343987,106.540621,97.046971,823.8569732,210.815908,86.931714,83.717008,274.400924,85.65139305,136.018877,114.3449251,119.1242779,413.3841096,178.9253585,346.2248232,21.7819109,243.6113712,752.2163272,237.4529858,339.80912,325.791245,67.48285737,-34.27357028,-4.453685,512.721568,266.418387,77.565604,251.721709,334.5478879,-29.958028,-8.72432018,32.09336,722.2951223,40.557698,2.153563,432.894163,1060.612685,541.863357,196.401421,136.1721948,798.8746847,179.9373332,-48.621609,-24.33911775,305.3898495,84.72368846,54.80198794,160.1704634,136.3213013,98.56990429,96.74247688,183.3927511,326.0775053,331.6629614,-134.9046688,-269.5532774
Tabasco,23.69991,6.935598,2.278602,-0.754089,11.519507,-3.05794,-1.803104,72.980214,19.427878,9.266415,148.003134,54.856077,72.067657,16.087256,81.461528,31.878738,26.273757,23.514549,4.67598,85.883315,142.150027,22.023208,22.090392,98.186524,55.278845,63.677057,12.605083,26.525752,-1.997211,18.480177,41.468211,24.4576,57.169443,16.145906,56.502384,49.782666,51.019397,21.547731,14.354779,48.083886,24.90212592,49.89716719,16.099095,-0.35144,80.573283,55.833497,-17.43582385,22.049418,46.81244138,159.747179,-15.82545,40.241463,22.09382258,9.356517,215.2841644,77.745167,144.1693935,157.843573,51.58170399,-29.393374,206.7038542,-26.66746293,68.1591675,-8.53756742,78.43370289,30.8188589,233.3710429,346.0936926,78.91050343,42.27245232,54.14578415,73.93485878,193.1614018,62.02428151,40.78695542,88.5486356
Tamaulipas,148.130351,192.472502,65.243878,176.730191,294.403742,265.68352,187.276022,270.198503,188.828388,148.086947,340.369134,295.841446,225.954253,205.308648,382.191304,283.669733,118.667113,423.247221,204.367588,265.243616,216.33416,147.41513,151.474868,286.743654,161.404137,288.788135,205.243476,312.370147,155.271572,260.508067,197.391906,240.922121,259.169598,196.254228,253.335883,168.675901,199.986967,190.733275,285.199669,256.503134,268.40734,166.5673432,28.913845,139.203491,207.472087,187.373852,559.4201715,81.60938,175.4380287,499.258058,23.39535,198.869155,234.9706048,246.878866,187.728231,368.124329,458.2679682,755.516017,119.932925,401.6814251,189.6404279,281.4281482,27.260666,179.4226682,192.0965491,154.4055797,388.315951,350.3398432,231.516825,415.6631629,69.33411987,462.3965066,453.4549275,381.0285296,265.5693483,225.851967
Tlaxcala,22.646472,11.559571,10.245476,10.554515,31.241171,-2.509617,17.42118,9.874799,9.976772,24.731674,30.896639,19.009777,29.655429,8.778057,82.42253,13.689688,55.679556,44.503081,41.138781,60.869306,79.976872,66.555439,107.331317,64.182229,59.589831,54.354843,44.009612,36.399568,134.622755,16.923459,47.812265,42.867499,41.15014,8.026756,11.299267,32.219426,61.527564,2.130584,33.097839,26.953824,33.403671,0.450872,8.945453,29.391995,25.0785444,51.678398,13.160733,1.253558,169.540928,38.657111,14.426914,24.283859,31.70185918,26.057472,20.729881,1.032777,34.09441361,81.251796,-34.558058,-7.36423,42.15651573,67.29227,-0.503752,7.135748,30.03672104,19.48665672,40.483094,33.85916244,34.20166692,49.60915858,-0.99291209,130.404666,66.28601027,25.37995556,62.67947171,5.00404085
Veracruz de Ignacio de la Llave,52.218123,24.380916,-22.692476,2.100859,41.859472,-25.044137,29.671684,265.014445,74.882617,41.904557,493.275275,186.50539,143.093458,36.824695,294.934994,165.464709,71.911062,165.808965,66.924651,168.578246,331.047047,66.124592,32.08867,223.185528,208.510305,222.288154,3.581701,50.330675,31.505309,124.460554,-16.313754,113.088282,172.015648,77.833695,133.020589,194.862838,136.311876,146.254407,31.726819,293.3452242,234.7268435,184.067916,54.838532,43.796141,264.023543,849.003934,78.092185,50.111763,294.34794,398.392438,231.399961,286.8847077,346.743612,135.580452,313.089931,255.4066565,222.0361205,523.086669,301.645362,415.8012053,661.9884121,-5.21760998,86.279775,331.0730111,502.5459205,101.3656168,739.8478815,301.5741127,409.8514432,268.6871268,207.589503,189.4791307,500.6188556,84.30912021,199.056316,284.3344712
Yucatán,22.744922,24.726413,6.595623,10.015224,23.489313,-10.00762,31.114327,37.976551,18.331301,35.832455,136.6297,38.262924,29.381438,24.149732,44.042839,114.662482,30.784773,48.07170751,5.196257,110.178228,77.895455,63.736739,12.22161,29.973214,40.993997,30.580376,15.53777,3.82811,20.049595,54.73856,10.628673,18.817268,55.716444,59.801744,54.463664,22.63372717,50.177717,46.566862,23.601344,24.906475,9.540153,42.778191,3.012861,23.903567,59.006903,20.362302,9.791718,4.59065755,21.24344609,49.807935,80.687402,11.46143953,27.42112163,22.441868,62.726831,14.01727317,26.15793105,446.162956,16.06655713,40.318593,72.65323655,-0.12159706,18.857194,-8.25630628,81.09312117,36.60813124,17.4377045,70.83026373,64.76188986,21.84583175,14.6789902,20.72412809,99.32298499,20.5065202,5.78317225,-15.4936644
Zacatecas,3.98569,14.960585,4.511595,7.132861,33.862399,-1.39529,4.892272,9.850968,3.618339,9.920476,33.278802,15.230908,12.78477,117.170971,51.03786,28.987811,14.376423,34.004718,7.227962,63.597265,109.838901,73.237012,28.904933,21.797246,22.150869,50.752503,-118.64036,11.936484,14.156372,55.193407,12.53605,15.246275,157.719637,101.394971,621.042681,-12.637878,132.233261,252.071867,1292.704237,159.452938,41.915229,79.507676,113.971984,66.121427,108.36658,31.324058,49.123476,193.104271,75.46060775,328.442046,50.480937,38.15839745,81.01832361,7.051758,334.190826,331.699893,157.676228,1437.10111,552.209352,1826.054473,97.42244444,112.5877242,472.531335,13.80398163,-116.2755894,128.933726,106.807162,13.03833144,136.4625376,343.6164949,99.12557457,-48.13497252,145.9258861,-7.3248278,-65.09364153,239.0020546
